# i,j,k,Xi,Yj,Zk,Bxi,Bxj,Bxk,Bmagnitude,Gradientx,Bgradienty,Bgradientz
0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,-5.555555555555553582e-01,-1.340296388513944657e-09,8.140460755068130301e-11,1.503105603615307263e-09,2.015526624684908425e-09,2.718254566735720812e-10,5.860897912658915512e-10,7.428585113844938994e-10
0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,5.555555555555553582e-01,-2.017630413440262941e-09,-6.942038986696762787e-11,1.878789633706327996e-09,2.757807492101427736e-09,7.541342309668138538e-10,7.389501253946793606e-10,6.354135186604622127e-10
0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,1.666666666666666963e+00,-2.523265918814552302e-09,-2.143377750244706600e-10,2.094590368765611292e-09,3.286353662005832850e-09,1.065379520754040711e-09,8.144296332278699448e-10,3.637608138096895846e-10
0.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,2.777777777777778567e+00,-2.753277346426624227e-09,-3.201738574947895490e-10,2.112929631437045026e-09,3.485329119720806905e-09,1.098075330769548537e-09,7.747277616237326099e-10,4.786235504855769833e-11
0.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,3.888888888888889284e+00,-2.721650714088896523e-09,-3.745741586668562738e-10,1.972502396755183768e-09,3.382078372102948247e-09,9.312307567576128577e-10,6.526526120698154381e-10,-1.988441842410049588e-10
0.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,5.000000000000000000e+00,-2.517011495952866486e-09,-3.853371151127430689e-10,1.746337265727380348e-09,3.087640751238796988e-09,7.014131407542798291e-10,5.051860840047133563e-10,-2.944376208641512586e-10
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,-5.000000000000000000e+00,6.611919650470428312e-10,4.912813918320172576e-10,3.213708186169915807e-10,8.842010086296719781e-10,2.862927075597290221e-10,3.181413539135557413e-10,6.560817862520938459e-11
0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,-3.888888888888888840e+00,4.634389968671142235e-10,5.443760576917172020e-10,6.253131185163201805e-10,9.498091872548813627e-10,1.837437195967240727e-10,4.352149556186867273e-10,1.641945480181139555e-10
0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,-2.777777777777777679e+00,7.438049137260176050e-11,5.708133415109502405e-10,1.067246191649298669e-09,1.212590104665899889e-09,-2.445299003689611737e-11,5.278118473266031635e-10,4.331623568582143319e-10
0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,-1.666666666666666519e+00,-5.541526155564400145e-10,5.438244468683924924e-10,1.641801509293224999e-09,1.816133900971310027e-09,5.274435238132839665e-11,6.072973050187479978e-10,7.400224692999249282e-10
0.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,-5.555555555555553582e-01,-1.384676175574873817e-09,4.410656827745692731e-10,2.266807541124012467e-09,2.692635043265749745e-09,6.181425232730372111e-10,7.236751370701444567e-10,8.812990060047431614e-10
0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,5.555555555555553582e-01,-2.241150633169881812e-09,2.680151404023364960e-10,2.777180913974554701e-09,3.578731912980796349e-09,1.347169914327980836e-09,8.346461585624199249e-10,7.360887249318714356e-10
0.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,1.666666666666666963e+00,-2.875388160573827192e-09,6.838768652483098111e-11,3.012163533623488947e-09,4.164812493129492617e-09,1.769127397792207040e-09,8.573883338376408404e-10,3.593521854948865666e-10
0.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,2.777777777777778567e+00,-3.138403722895810293e-09,-1.022383299664501289e-10,2.933927062962909828e-09,4.297436283970569482e-09,1.701267365756402497e-09,7.656443235501928769e-10,-5.924055456590428468e-11
0.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,3.888888888888889284e+00,-3.062669827990637671e-09,-2.134492383298597338e-10,2.635771351330918204e-09,4.046331383997684047e-09,1.342246893101405339e-09,6.074785239712365066e-10,-3.551858824070506465e-10
0.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,5.000000000000000000e+00,-2.782324306866128159e-09,-2.670647682415934194e-10,2.248194770382941423e-09,3.587064519156468189e-09,9.449666337869966013e-10,4.448473962083506565e-10,-4.592668648412158578e-10
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,-5.000000000000000000e+00,8.576645107921982594e-10,6.879702244506829238e-10,5.182759381091675881e-10,1.215525150223590171e-09,3.676676835610444226e-10,3.162711488367573485e-10,1.927719414870361377e-10
